id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
6653514867,81267.60000000,0.00007000,5.68873200,1788480000459,true,true
6653514868,81267.60000000,0.00007000,5.68873200,1788480000459,true,true
6653514869,81267.60000000,0.00007000,5.68873200,1788480000459,true,true
6653514870,81267.60000000,0.00007000,5.68873200,1788480000459,true,true
6653514871,81267.59000000,0.00007000,5.68873130,1788480000459,true,true
6653514872,81267.59000000,0.00007000,5.68873130,1788480000459,true,true
6653514873,81267.59000000,0.00007000,5.68873130,1788480000459,true,true
6653514874,81267.58000000,0.00007000,5.68873060,1788480000459,true,true
6653514875,81267.58000000,0.00007000,5.68873060,1788480000459,true,true
6653514876,81267.58000000,0.00007000,5.68873060,1788480000459,true,true
6653514877,81267.58000000,0.00007000,5.68873060,1788480000459,true,true
6653514878,81267.58000000,0.00007000,5.68873060,1788480000459,true,true
6653514879,81267.57000000,0.00329000,267.37030530,1788480000459,true,true
6653514880,81267.57000000,0.00501000,407.15052570,1788480000459,true,true
6653514881,81267.58000000,0.00369000,299.87737020,1788480000460,false,true
6653514882,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514883,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514884,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514885,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514886,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514887,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514888,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514889,81267.57000000,0.00007000,5.68872990,1788480000461,true,true
6653514890,81267.47000000,0.00520000,422.59084400,1788480000461,true,true
6653514891,81267.47000000,0.00007000,5.68872290,1788480000461,true,true
6653514892,81267.47000000,0.00007000,5.68872290,1788480000461,true,true
6653514893,81267.26000000,0.00007000,5.68870820,1788480000461,true,true
6653514894,81267.26000000,0.00007000,5.68870820,1788480000461,true,true
6653514895,81267.05000000,0.00306000,248.67717300,1788480000461,true,true
6653514896,81266.22000000,0.00007000,5.68863540,1788480000461,true,true
6653514897,81266.22000000,0.00007000,5.68863540,1788480000461,true,true
6653514898,81266.16000000,0.00160000,130.02585600,1788480000461,true,true
6653514899,81266.16000000,0.00707000,574.55175120,1788480000463,true,true
6653514900,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514901,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514902,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514903,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514904,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514905,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514906,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514907,81266.16000000,0.00007000,5.68863120,1788480000463,true,true
6653514908,81265.88000000,0.00007000,5.68861160,1788480000463,true,true
6653514909,81265.88000000,0.00007000,5.68861160,1788480000463,true,true
6653514910,81265.88000000,0.00007000,5.68861160,1788480000463,true,true
6653514911,81265.88000000,0.00007000,5.68861160,1788480000463,true,true
6653514912,81265.69000000,0.00007000,5.68859830,1788480000463,true,true
6653514913,81265.69000000,0.00007000,5.68859830,1788480000463,true,true
6653514914,81265.69000000,0.00007000,5.68859830,1788480000463,true,true
6653514915,81265.68000000,0.00007000,5.68859760,1788480000463,true,true
6653514916,81265.68000000,0.00007000,5.68859760,1788480000463,true,true
6653514917,81265.26000000,0.00007000,5.68856820,1788480000463,true,true
6653514918,81265.26000000,0.00007000,5.68856820,1788480000463,true,true
6653514919,81265.01000000,0.00007000,5.68855070,1788480000463,true,true
6653514920,81265.01000000,0.00007000,5.68855070,1788480000463,true,true
6653514921,81265.01000000,0.00007000,5.68855070,1788480000463,true,true
6653514922,81265.00000000,0.01239000,1006.87335000,1788480000463,true,true
6653514923,81265.01000000,0.00300000,243.79503000,1788480000493,false,true
6653514924,81265.00000000,0.00372000,302.30580000,1788480000521,true,true
6653514925,81265.00000000,0.02389000,1941.42085000,1788480000537,true,true
6653514926,81265.00000000,0.00007000,5.68855000,1788480000537,true,true
6653514927,81265.00000000,0.00007000,5.68855000,1788480000537,true,true
6653514928,81265.00000000,0.00007000,5.68855000,1788480000537,true,true
6653514929,81265.00000000,0.00007000,5.68855000,1788480000537,true,true
6653514930,81265.00000000,0.00007000,5.68855000,1788480000537,true,true
6653514931,81265.00000000,0.00008000,6.50120000,1788480000537,true,true
6653514932,81265.00000000,0.03720000,3023.05800000,1788480000537,true,true
6653514933,81265.01000000,0.00014000,11.37710140,1788480000601,false,true
6653514934,81265.01000000,0.00024000,19.50360240,1788480000774,false,true
6653514935,81265.00000000,0.00007000,5.68855000,1788480000880,true,true
6653514936,81265.00000000,0.00007000,5.68855000,1788480000880,true,true
6653514937,81265.00000000,0.00007000,5.68855000,1788480000880,true,true
6653514938,81265.00000000,0.00007000,5.68855000,1788480000880,true,true
6653514939,81265.00000000,0.00008000,6.50120000,1788480000880,true,true
6653514940,81265.00000000,0.00007000,5.68855000,1788480000880,true,true
6653514941,81265.00000000,0.00881000,715.94465000,1788480000880,true,true
6653514942,81265.00000000,0.00023000,18.69095000,1788480000935,true,true
6653514943,81265.01000000,0.00012000,9.75180120,1788480000963,false,true
6653514944,81265.01000000,0.00007000,5.68855070,1788480000965,false,true
6653514945,81265.00000000,0.00007000,5.68855000,1788480001262,true,true
6653514946,81265.00000000,0.00008000,6.50120000,1788480001262,true,true
6653514947,81265.00000000,0.00007000,5.68855000,1788480001262,true,true
6653514948,81265.00000000,0.00007000,5.68855000,1788480001262,true,true
6653514949,81265.00000000,0.00007000,5.68855000,1788480001262,true,true
6653514950,81265.00000000,0.00007000,5.68855000,1788480001262,true,true
6653514951,81264.86000000,0.00007000,5.68854020,1788480001264,true,true
6653514952,81264.86000000,0.00007000,5.68854020,1788480001264,true,true
6653514953,81264.86000000,0.00007000,5.68854020,1788480001264,true,true
6653514954,81264.86000000,0.00007000,5.68854020,1788480001264,true,true
6653514955,81264.86000000,0.00007000,5.68854020,1788480001264,true,true
6653514956,81264.86000000,0.00007000,5.68854020,1788480001264,true,true
6653514957,81264.68000000,0.00007000,5.68852760,1788480001264,true,true
6653514958,81264.60000000,0.00007000,5.68852200,1788480001264,true,true
6653514959,81264.58000000,0.00007000,5.68852060,1788480001264,true,true
6653514960,81264.00000000,0.00007000,5.68848000,1788480001264,true,true
6653514961,81263.95000000,0.00007000,5.68847650,1788480001264,true,true
6653514962,81263.95000000,0.00007000,5.68847650,1788480001264,true,true
